mask;bits;render_name;col;row;x;y;N-S;E-W;N-E;N-W;S-E;S-W;path_count;deg_N;deg_E;deg_S;deg_W;crossing;prototype;direction;is_rep
0;000000;tile_00_000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gofarovich-scl-rail-0;0;1
1;100000;tile_01_100000;1;0;64;0;1;0;0;0;0;0;1;1;0;1;0;0;gofarovich-scl-rail-1;0;1
2;010000;tile_02_010000;2;0;128;0;0;1;0;0;0;0;1;0;1;0;1;0;gofarovich-scl-rail-1;4;0
3;110000;tile_03_110000;3;0;192;0;1;1;0;0;0;0;2;1;1;1;1;1;gofarovich-scl-rail-3;0;1
4;001000;tile_04_001000;4;0;256;0;0;0;1;0;0;0;1;1;1;0;0;0;gofarovich-scl-rail-4;0;1
5;101000;tile_05_101000;5;0;320;0;1;0;1;0;0;0;2;2;1;1;0;0;gofarovich-scl-rail-5;0;1
6;011000;tile_06_011000;6;0;384;0;0;1;1;0;0;0;2;1;2;0;1;0;gofarovich-scl-rail-6;0;1
7;111000;tile_07_111000;7;0;448;0;1;1;1;0;0;0;3;2;2;1;1;1;gofarovich-scl-rail-7;0;1
8;000100;tile_08_000100;0;1;0;64;0;0;0;1;0;0;1;1;0;0;1;0;gofarovich-scl-rail-4;12;0
9;100100;tile_09_100100;1;1;64;64;1;0;0;1;0;0;2;2;0;1;1;0;gofarovich-scl-rail-6;12;0
10;010100;tile_10_010100;2;1;128;64;0;1;0;1;0;0;2;1;1;0;2;0;gofarovich-scl-rail-5;12;0
11;110100;tile_11_110100;3;1;192;64;1;1;0;1;0;0;3;2;1;1;2;1;gofarovich-scl-rail-7;12;0
12;001100;tile_12_001100;4;1;256;64;0;0;1;1;0;0;2;2;1;0;1;0;gofarovich-scl-rail-12;0;1
13;101100;tile_13_101100;5;1;320;64;1;0;1;1;0;0;3;3;1;1;1;0;gofarovich-scl-rail-13;0;1
14;011100;tile_14_011100;6;1;384;64;0;1;1;1;0;0;3;2;2;0;2;0;gofarovich-scl-rail-14;0;1
15;111100;tile_15_111100;7;1;448;64;1;1;1;1;0;0;4;3;2;1;2;1;gofarovich-scl-rail-15;0;1
16;000010;tile_16_000010;0;2;0;128;0;0;0;0;1;0;1;0;1;1;0;0;gofarovich-scl-rail-4;4;0
17;100010;tile_17_100010;1;2;64;128;1;0;0;0;1;0;2;1;1;2;0;0;gofarovich-scl-rail-6;4;0
18;010010;tile_18_010010;2;2;128;128;0;1;0;0;1;0;2;0;2;1;1;0;gofarovich-scl-rail-5;4;0
19;110010;tile_19_110010;3;2;192;128;1;1;0;0;1;0;3;1;2;2;1;1;gofarovich-scl-rail-7;4;0
20;001010;tile_20_001010;4;2;256;128;0;0;1;0;1;0;2;1;2;1;0;0;gofarovich-scl-rail-12;4;0
21;101010;tile_21_101010;5;2;320;128;1;0;1;0;1;0;3;2;2;2;0;0;gofarovich-scl-rail-14;4;0
22;011010;tile_22_011010;6;2;384;128;0;1;1;0;1;0;3;1;3;1;1;0;gofarovich-scl-rail-13;4;0
23;111010;tile_23_111010;7;2;448;128;1;1;1;0;1;0;4;2;3;2;1;1;gofarovich-scl-rail-15;4;0
24;000110;tile_24_000110;0;3;0;192;0;0;0;1;1;0;2;1;1;1;1;0;gofarovich-scl-rail-24;0;1
